course_number,course_name,unit,section,day,start_time,end_time,location,classroom,instructor,course_rate
48025,First Year Seminar: Architecture Edition I,3,A,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",MM  303,"Workinger, Heather",3.905714286
48050,Study Abroad,0,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,
48095,Spatial Concepts for Non-Architects I,10,A,TR,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  321,"Barbuto, Nina Marie",4.143684211
48100,Architecture Design Studio: Foundation I,12,Lec 1,MWF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  A14,TBA,4.410133333
48116,Building Physics,9,A,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 214,TBA,3.97
48120,Digital Media I,VAR,A,T,09:30AM,12:20PM,"Pittsburgh, Pennsylvania",CFA 214,TBA,4.132
48121,Drawing I,6,A,R,09:30AM,12:20PM,"Pittsburgh, Pennsylvania",CFA 214,"Cooper, William",4.285
48200,Architecture Design Studio: Elaboration I,18,Lec 1,M,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",CFA 200,TBA,4.220298507
48215,Materials and Assembly,9,A,MWF,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",CFA 214,"Damiani, Gerard",4.169
48241,Modern Architecture  This Section Cancelled,9,A,MWF,10:30AM,11:20AM,"Pittsburgh, Pennsylvania",MM  A14,"Gutschow, Kai",4.22
48250,Case Studies in Architecture and CitiesThis Section Cancelled,9,A,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",MM  303,"Gruber, Stefan",2.624
48300,Architecture Design Studio: Integration I,18,Lec 1,MWF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",POS 151,"Cupkova, Dana",3.804821429
48311,History of Architectural Theory,9,A,TR,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",DH  1117,"Gutschow, Kai",4.67
48315,Environment I: Climate & Energy,9,Lec 1,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",MM  A14,"Loftness, Vivian",3.841818182
48324,Structures/Statics,9,A,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",MM  A14,"Oppenheim, Irving",4.3575
48355,Perspective This Section Cancelled,9,A,R,09:00AM,11:50AM,"Pittsburgh, Pennsylvania",MM  321,TBA,4.41625
48357,Anatomy and Organic Form,9,A,R,09:00AM,11:50AM,"Pittsburgh, Pennsylvania",MM  321,TBA,4.766
48368,"Rediscovering Antiquity: Travelers, Archeologists & Architects in Mediterranean",9,A,TR,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",CFA 206A,"Torello, Francesca",3.875
48371,"American House and Housing, 1850-1975",9,A,TR,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",CFA 102,"Shaw, Diane",4.49625
48400,Advanced Synthesis Options Studio I,18,Lec 1,F,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",MM  312,TBA,4.131132075
48432,Environment II: Design Integration of Active Building Systems,9,A,TR,09:00AM,10:20AM,"Pittsburgh, Pennsylvania",BH  136A,"Baird, Nina",2.785714286
48470,Exploring Pattern Through Lamination,9,A,TR,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",CFA SHOP,"Smith, Scott",4.692222222
48495,Scaling Change,9,A,MWF,12:30PM,01:20PM,"Pittsburgh, Pennsylvania",CFA 200,"Folan, John",5
48500,Advanced Synthesis Options Studio III,18,Lec 1,F,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",MM  320,TBA,4.007954545
48509,Architecture Design Studio: Thesis I/ Independent Project,18,A,MWF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,TBA,4.4
48524,Building Performance Modeling,9,A,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",MM  415IW,"Karaguzel, Omer",4
48531,Fabricating Customization: Prototype,9,A,R,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  C4,"Ficca, Jeremy",4.2025
48545,Digital Fabrication,9,A,TR,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",MM  C4,"Pertierra, Jose",3.985714286
48555,Introduction to Architectural Robotics,6,A,TR,10:00AM,11:50AM,"Pittsburgh, Pennsylvania",MM  C4,"Pertierra, Jose",3.571428571
48558,Reality Computing,12,A,MW,01:30PM,03:20PM,"Pittsburgh, Pennsylvania",HL  106C,"Corbett, Thomas Folan, John",
48568,"Advanced CAD, BIM, and 3D Visualization",9,A,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",BH  140C,"Kurland, Kristen",4.557272727
48599,Independent Study,3-9,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Kim, Man",4.318181818
48600,ASO Studio General,18,A,MWF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  320,TBA,5
48624,Parametric Modeling,6,A1,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",CFA 317,TBA,4.082727273
48630,M.Arch Studio: Integration I,18,A,MWF,01:30PM,04:20PM,"Pittsburgh, Pennsylvania",MM  312,TBA,4.943333333
